"emoji","codepoints","name","img_url","detail_url","kind","description","image_path"
"🍉","U+1F349","[西瓜]","https://www.emojiall.com/images/60/douyin/1f349.png","https://www.emojiall.com/en/emoji/%F0%9F%8D%89","mapped","watermelon","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f349png.png"
"😢","U+1F622","[衰]","https://www.emojiall.com/images/60/douyin/1f622.png","https://www.emojiall.com/en/emoji/%F0%9F%98%A2","mapped","crying face","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f622-newpng.png"
"🌞","U+1F31E","[太阳]","https://www.emojiall.com/images/60/douyin/1f31e.png","https://www.emojiall.com/en/emoji/%F0%9F%8C%9E","mapped","sun with face","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f31epng.png"
"🌜","U+1F31C","[月亮]","https://www.emojiall.com/images/60/douyin/1f31c.png","https://www.emojiall.com/en/emoji/%F0%9F%8C%9C","mapped","last quarter moon face","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f31cpng.png"
"","","[发]","https://www.emojiall.com/images/60/douyin/1f005.png","https://www.emojiall.com/en/emoji/%F0%9F%80%85","mapped","🀅Mahjong Tile Green Dragon",""
"🐷","U+1F437","[猪头]","https://www.emojiall.com/images/60/douyin/1f437.png","https://www.emojiall.com/en/emoji/%F0%9F%90%B7","mapped","pig face","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f437png.png"
"🥀","U+1F940","[凋谢]","https://www.emojiall.com/images/60/douyin/1f940.png","https://www.emojiall.com/en/emoji/%F0%9F%A5%80","mapped","wilted flower","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f940png.png"
"🧧","U+1F9E7","[红包]","https://www.emojiall.com/images/60/douyin/1f9e7.png","https://www.emojiall.com/en/emoji/%F0%9F%A7%A7","mapped","red envelope","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f9e7png.png"
"✊","U+270A","[拳头]","https://www.emojiall.com/images/60/douyin/270a.png","https://www.emojiall.com/en/emoji/%E2%9C%8A","mapped","raised fist","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\270apng.png"
"✌","U+270C","[胜利]","https://www.emojiall.com/images/60/douyin/270c.png","https://www.emojiall.com/en/emoji/%E2%9C%8C","mapped","victory hand","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\270c-newpng.png"
"🙏","U+1F64F","[抱拳]","https://www.emojiall.com/images/60/douyin/1f64f.png","https://www.emojiall.com/en/emoji/%F0%9F%99%8F","mapped","folded hands","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\douyin\1f64f-newpng.png"
