"emoji","codepoints","name","img_url","detail_url","kind","description","image_path"
"😍","U+1F60D","[花心]","https://www.emojiall.com/images/60/weibo/1f60d.png","https://www.emojiall.com/en/emoji/%F0%9F%98%8D","mapped","smiling face with heart-eyes","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f60dpng.png"
"😜","U+1F61C","[挤眼]","https://www.emojiall.com/images/60/weibo/1f61c.png","https://www.emojiall.com/en/emoji/%F0%9F%98%9C","mapped","winking face with tongue","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f61cpng.png"
"😊","U+1F60A","[可爱]","https://www.emojiall.com/images/60/weibo/1f60a-new.png","https://www.emojiall.com/en/emoji/%F0%9F%98%8A","mapped","smiling face with smiling eyes","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f60a-newpng.png"
"🥤","U+1F964","[可乐]","https://www.emojiall.com/images/60/weibo/1f964.png","https://www.emojiall.com/en/emoji/%F0%9F%A5%A4","mapped","cup with straw","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f964png.png"
"🥺","U+1F97A","[可怜]","https://www.emojiall.com/images/60/weibo/1f97a.png","https://www.emojiall.com/en/emoji/%F0%9F%A5%BA","mapped","pleading face","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f97apng.png"
"😎","U+1F60E","[酷]","https://www.emojiall.com/images/60/weibo/1f60e.png","https://www.emojiall.com/en/emoji/%F0%9F%98%8E","mapped","smiling face with sunglasses","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f60epng.png"
"💀","U+1F480","[骷髅]","https://www.emojiall.com/images/60/weibo/1f480.png","https://www.emojiall.com/en/emoji/%F0%9F%92%80","mapped","skull","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f480png.png"
"😔","U+1F614","[困]","https://www.emojiall.com/images/60/weibo/1f614.png","https://www.emojiall.com/en/emoji/%F0%9F%98%94","mapped","pensive face","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f614-newpng.png"
"🙄","U+1F644","[白眼]","https://www.emojiall.com/images/60/weibo/1f644.png","https://www.emojiall.com/en/emoji/%F0%9F%99%84","mapped","face with rolling eyes","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f644png.png"
"😭","U+1F62D","[泪]","https://www.emojiall.com/images/60/weibo/1f62d.png","https://www.emojiall.com/en/emoji/%F0%9F%98%AD","mapped","loudly crying face","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f62dpng.png"
"😼","U+1F63C","[喵]","https://www.emojiall.com/images/60/weibo/1f63c.png","https://www.emojiall.com/en/emoji/%F0%9F%98%BC","mapped","cat with wry smile","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f63cpng.png"
"🤵","U+1F935","[男孩儿]","https://www.emojiall.com/images/60/weibo/1f935.png","https://www.emojiall.com/en/emoji/%F0%9F%A4%B5","mapped","person in tuxedo","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f935png.png"
"😡","U+1F621","[怒]","https://www.emojiall.com/images/60/weibo/1f621.png","https://www.emojiall.com/en/emoji/%F0%9F%98%A1","mapped","enraged face","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f621png.png"
"🤬","U+1F92C","[怒骂]","https://www.emojiall.com/images/60/weibo/1f92c.png","https://www.emojiall.com/en/emoji/%F0%9F%A4%AC","mapped","face with symbols on mouth","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f92cpng.png"
"👰","U+1F470","[女孩儿]","https://www.emojiall.com/images/60/weibo/1f470.png","https://www.emojiall.com/en/emoji/%F0%9F%91%B0","mapped","person with veil","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f470png.png"
"🤑","U+1F911","[钱]","https://www.emojiall.com/images/60/weibo/1f911.png","https://www.emojiall.com/en/emoji/%F0%9F%A4%91","mapped","money-mouth face","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f911png.png"
"😙","U+1F619","[亲亲]","https://www.emojiall.com/images/60/weibo/1f619.png","https://www.emojiall.com/en/emoji/%F0%9F%98%99","mapped","kissing face with smiling eyes","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f619png.png"
"😳","U+1F633","[傻眼]","https://www.emojiall.com/images/60/weibo/1f633.png","https://www.emojiall.com/en/emoji/%F0%9F%98%B3","mapped","flushed face","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f633png.png"
"🤒","U+1F912","[生病]","https://www.emojiall.com/images/60/weibo/1f912.png","https://www.emojiall.com/en/emoji/%F0%9F%A4%92","mapped","face with thermometer","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f912png.png"
"🦙","U+1F999","[神兽]","https://www.emojiall.com/images/60/weibo/1f999.png","https://www.emojiall.com/en/emoji/%F0%9F%A6%99","mapped","llama","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f999png.png"
"😔","U+1F614","[失望]","https://www.emojiall.com/images/60/weibo/1f614-new.png","https://www.emojiall.com/en/emoji/%F0%9F%98%94","mapped","pensive face","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f614-newpng.png"
"😢","U+1F622","[衰]","https://www.emojiall.com/images/60/weibo/1f622.png","https://www.emojiall.com/en/emoji/%F0%9F%98%A2","mapped","crying face","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f622png.png"
"😪","U+1F62A","[睡觉]","https://www.emojiall.com/images/60/weibo/1f62a.png","https://www.emojiall.com/en/emoji/%F0%9F%98%AA","mapped","sleepy face","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f62apng.png"
"🤔","U+1F914","[思考]","https://www.emojiall.com/images/60/weibo/1f914.png","https://www.emojiall.com/en/emoji/%F0%9F%A4%94","mapped","thinking face","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f914png.png"
"🍋","U+1F34B","[酸]","https://www.emojiall.com/images/60/weibo/1f34b.png","https://www.emojiall.com/en/emoji/%F0%9F%8D%8B","mapped","lemon","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f34bpng.png"
"😄","U+1F604","[太开心]","https://www.emojiall.com/images/60/weibo/1f604.png","https://www.emojiall.com/en/emoji/%F0%9F%98%84","mapped","grinning face with smiling eyes","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f604png.png"
"🤷","U+1F937","[摊手]","https://www.emojiall.com/images/60/weibo/1f937.png","https://www.emojiall.com/en/emoji/%F0%9F%A4%B7","mapped","person shrugging","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f937png.png"
"😝","U+1F61D","[舔]","https://www.emojiall.com/images/60/weibo/1f61d.png","https://www.emojiall.com/en/emoji/%F0%9F%98%9D","mapped","squinting face with tongue","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f61dpng.png"
"🤭","U+1F92D","[偷笑]","https://www.emojiall.com/images/60/weibo/1f92d.png","https://www.emojiall.com/en/emoji/%F0%9F%A4%AD","mapped","face with hand over mouth","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f92dpng.png"
"🤮","U+1F92E","[吐]","https://www.emojiall.com/images/60/weibo/1f92e.png","https://www.emojiall.com/en/emoji/%F0%9F%A4%AE","mapped","face vomiting","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f92epng.png"
"🐰","U+1F430","[兔子]","https://www.emojiall.com/images/60/weibo/1f430.png","https://www.emojiall.com/en/emoji/%F0%9F%90%B0","mapped","rabbit face","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f430png.png"
"🙁","U+1F641","[委屈]","https://www.emojiall.com/images/60/weibo/1f641.png","https://www.emojiall.com/en/emoji/%F0%9F%99%81","mapped","slightly frowning face","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f641png.png"
"🙈","U+1F648","[捂]","https://www.emojiall.com/images/60/weibo/1f648.png","https://www.emojiall.com/en/emoji/%F0%9F%99%88","mapped","see-no-evil monkey","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f648png.png"
"😂","U+1F602","[笑哭]","https://www.emojiall.com/images/60/weibo/1f602.png","https://www.emojiall.com/en/emoji/%F0%9F%98%82","mapped","face with tears of joy","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f602png.png"
"🤩","U+1F929","[憧憬]","https://www.emojiall.com/images/60/weibo/1f929.png","https://www.emojiall.com/en/emoji/%F0%9F%A4%A9","mapped","star-struck","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f929png.png"
"🐼","U+1F43C","[熊猫]","https://www.emojiall.com/images/60/weibo/1f43c.png","https://www.emojiall.com/en/emoji/%F0%9F%90%BC","mapped","panda","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f43cpng.png"
"😁","U+1F601","[嘻嘻]","https://www.emojiall.com/images/60/weibo/1f601.png","https://www.emojiall.com/en/emoji/%F0%9F%98%81","mapped","beaming face with smiling eyes","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f601png.png"
"🤫","U+1F92B","[嘘]","https://www.emojiall.com/images/60/weibo/1f92b.png","https://www.emojiall.com/en/emoji/%F0%9F%A4%AB","mapped","shushing face","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f92bpng.png"
"😏","U+1F60F","[阴险]","https://www.emojiall.com/images/60/weibo/1f60f.png","https://www.emojiall.com/en/emoji/%F0%9F%98%8F","mapped","smirking face","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f60fpng.png"
"😤","U+1F624","[右哼哼]","https://www.emojiall.com/images/60/weibo/1f624.png","https://www.emojiall.com/en/emoji/%F0%9F%98%A4","mapped","face with steam from nose","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f624-newpng.png"
"😵","U+1F635","[晕]","https://www.emojiall.com/images/60/weibo/1f635.png","https://www.emojiall.com/en/emoji/%F0%9F%98%B5","mapped","face with crossed-out eyes","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f635png.png"
"😫","U+1F62B","[抓狂]","https://www.emojiall.com/images/60/weibo/1f62b.png","https://www.emojiall.com/en/emoji/%F0%9F%98%AB","mapped","tired face","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f62bpng.png"
"🐷","U+1F437","[猪头]","https://www.emojiall.com/images/60/weibo/1f437.png","https://www.emojiall.com/en/emoji/%F0%9F%90%B7","mapped","pig face","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f437png.png"
"😤","U+1F624","[左哼哼]","https://www.emojiall.com/images/60/weibo/1f624-new.png","https://www.emojiall.com/en/emoji/%F0%9F%98%A4","mapped","face with steam from nose","E:\OneDrive - The Chinese University of Hong Kong\College\Course Content\y3\AIST4010\project\emoji-finegrained-emotion\data\emoji_images\weibo\1f624-newpng.png"
"","","[奥特曼]","https://www.emojiall.com/images/60/weibo/d_aoteman.png","","vendor_only","",""
"","","[awsl]","https://www.emojiall.com/images/60/weibo/d_awsl.png","","vendor_only","",""
"","","[鄙视]","https://www.emojiall.com/images/60/weibo/d_bishi.png","","vendor_only","",""
"","","[打call]","https://www.emojiall.com/images/60/weibo/d_dacall.png","","vendor_only","",""
"","","[顶]","https://www.emojiall.com/images/60/weibo/d_ding.png","","vendor_only","",""
"","","[二哈]","https://www.emojiall.com/images/60/weibo/d_erha.png","","vendor_only","",""
"","","[笑而不语]","https://www.emojiall.com/images/60/weibo/d_heiheihei.png","","vendor_only","",""
"","","[浪]","https://www.emojiall.com/images/60/weibo/d_lang.png","","vendor_only","",""
"","","[求饶]","https://www.emojiall.com/images/60/weibo/d_qiurao.png","","vendor_only","",""
"","","[挖鼻]","https://www.emojiall.com/images/60/weibo/d_wabishi.png","","vendor_only","",""
"","","[疑问]","https://www.emojiall.com/images/60/weibo/d_yiwen.png","","vendor_only","",""
"","","[允悲]","https://www.emojiall.com/images/60/weibo/d_yunbei.png","","vendor_only","",""
"","","[最右]","https://www.emojiall.com/images/60/weibo/d_zuiyou.png","","vendor_only","",""
"","","","https://www.emojiall.com/images/60/weibo/f_geili.png","","vendor_only","",""
"","","","https://www.emojiall.com/images/60/weibo/f_hufen.png","","vendor_only","",""
"","","","https://www.emojiall.com/images/60/weibo/f_v5.png","","vendor_only","",""
"","","","https://www.emojiall.com/images/60/weibo/h_lai.png","","vendor_only","",""
"","","","https://www.emojiall.com/images/60/weibo/h_zan.png","","vendor_only","",""
"","","","https://www.emojiall.com/images/60/weibo/vvs_icon_liked.png","","vendor_only","",""
"","","","https://www.emojiall.com/images/60/weibo/w_shachenbao.png","","vendor_only","",""
