platform,emoji,codepoints,name,description,img_url
douyin,,,[绿帽子],None,https://www.emojiall.com/images/60/douyin/coz.png
douyin,,,[皱眉],None,https://www.emojiall.com/images/60/douyin/cp2.png
douyin,,,[擦汗],None,https://www.emojiall.com/images/60/douyin/cp3.png
douyin,,,[强],None,https://www.emojiall.com/images/60/douyin/cp7.png
douyin,,,[如花],None,https://www.emojiall.com/images/60/douyin/cp8.png
douyin,,,[奋斗],None,https://www.emojiall.com/images/60/douyin/cpc.png
bilibili,,,[微笑],None,https://www.emojiall.com/images/60/bilibili/default001.png
bilibili,,,[哦呼],None,https://www.emojiall.com/images/60/bilibili/default005.png
bilibili,,,[疑惑],None,https://www.emojiall.com/images/60/bilibili/default012.png
bilibili,,,[辣眼睛],None,https://www.emojiall.com/images/60/bilibili/default013.png
bilibili,,,[奸笑],None,https://www.emojiall.com/images/60/bilibili/default016.png
bilibili,,,[阴险],None,https://www.emojiall.com/images/60/bilibili/default020.png
bilibili,,,[囧],None,https://www.emojiall.com/images/60/bilibili/default022.png
bilibili,,,[抠鼻],None,https://www.emojiall.com/images/60/bilibili/default024.png
bilibili,,,[笑哭],None,https://www.emojiall.com/images/60/bilibili/default027.png
bilibili,,,[妙啊],None,https://www.emojiall.com/images/60/bilibili/default028.png
bilibili,,,[滑稽],None,https://www.emojiall.com/images/60/bilibili/default030.png
bilibili,,,[点赞],None,https://www.emojiall.com/images/60/bilibili/default033.png
bilibili,,,[尴尬],None,https://www.emojiall.com/images/60/bilibili/default036.png
bilibili,,,[傲娇],None,https://www.emojiall.com/images/60/bilibili/default040.png
bilibili,,,[疼],None,https://www.emojiall.com/images/60/bilibili/default041.png
bilibili,,,[奋斗],None,https://www.emojiall.com/images/60/bilibili/default051.png
bilibili,,,[锦鲤],None,https://www.emojiall.com/images/60/bilibili/default064.png
bilibili,,,[抱拳],None,https://www.emojiall.com/images/60/bilibili/default068.png
bilibili,,,[响指],None,https://www.emojiall.com/images/60/bilibili/default069.png
bilibili,,,[黑洞],None,https://www.emojiall.com/images/60/bilibili/default074.png
bilibili,,,[2020],None,https://www.emojiall.com/images/60/bilibili/default076.png
bilibili,,,[福到了],None,https://www.emojiall.com/images/60/bilibili/default077.png
bilibili,,,[高兴],None,https://www.emojiall.com/images/60/bilibili/default078.png
bilibili,,,[气愤],None,https://www.emojiall.com/images/60/bilibili/default079.png
bilibili,,,[耍帅],None,https://www.emojiall.com/images/60/bilibili/default080.png
